;Gloss;Examples
194. ;"~ koto ga aru 「〜ことがある」 {〜事がある* 80} [""__ has occurred""]: DJG v1 p196; Genki ch11; Marx v1 day62; Tobira ch1 #6.";"55-11; 57-2; 77-1; 129-4."
195. ;"~ koto ga aru 「〜ことがある」 {〜事がある* 80} [""__ does occur""]: DJG v1 p198.";"412-13; 619-22; 701-6; 748-20."
196. ;"~ koto ga dekiru 「〜ことができる」 {〜事ができる* 80} [""be able to __""]: DJG v1 p200; Marx v1 day50.";"95-14; 98-6; 147-17; 165-5; 323-2."
197. ;"~ koto ni naru 「〜ことになる」 {〜事になる* 80} [""be decided that __""]: DJG v1 p202; Marx v2 day80; Tobira ch3 #7, 10.";"55-21; 648-17; 780-39."
198. ;"~ koto ni naru 「〜ことになる」 {〜事になる* 80} [""end up that __""]: DJG v2 p140; Marx v2 day73.";"454-14; 650-33; 944-15; 1127-13; 1147-25."
199. ;"~ koto ni suru 「〜ことにする」 {〜事にする* 80} [""decide to __""]: DJG v1 p204; Genki ch23; Marx v2 day80.";"84-11; 99-10; 226-15; 272-4."
200. ;"~ koto ni yoru 「〜ことによる」 {〜事による* 80} [""result from __""]: DJG v2 p143.";2024-6.
201. ;"~ koto wa 「〜ことは」 {〜事は* 80} [""indeed __ (but)""]: DJG v1 p206.";950-34.
202. ;"~ koto wa nai 「〜ことはない」 {〜事はない* 80} [""__ is not necessary""; ""__ is not possible""]: DJG v2 p146; Tobira ch10 #15.";"169-11; 232-8; 563-14; 760-32; 953-11."
203. ;"kou iu ~/kou itta ~ 「こういう〜 / こういった〜」 {こう言う〜 / こう言った〜 51} [""such __""]: DJG v2 p131; Tobira ch4 #10.";"478-15; 618-9; 839-43; 1474-3; 1503-6."
204. ;"kou shita ~ 「こうした〜」 [""such __""]: DJG v2 p130.";"697-10; 710-34; 804-13; 884-5."
205. ;"kou shite 「こうして」 [""like this""]: DJG v2 p131.";"467-11; 470-3; 1045-20."
206. ;"-ku 「-く」 [""and""; ""so""]: DJG v2 p148.";"185-8; 199-7; 334-22."
207. ;"kudasaru 「くださる」 {下さる 40} [""give""].";"867-9; 973-34; 1224-13; 2037-2."
208. ;"~ kurai 「〜くらい」 {〜位* 577} [""about __""]: DJG v1 p212; Marx v2 day78.";"33-11; 35-6; 62-4; 107-10; 182-12."
209. ;"~ kurai 「〜くらい」 {〜位* 577} [""to __ extent""]: DJG v2 p151.";"92-10; 183-19; 355-13; 403-7; 805-19; 830-22; 864-17; 878-24."
210. ;~ kure 「〜くれ」 {〜呉れ** 1478} [impolite request]: DJG v1 p210.;"51-6; 51-13; 427-9; 605-24; 659-4."
211. ;"~ kureru 「〜くれる」 {〜呉れる** 1478} [""give""]: DJG v1 p213; Genki ch14; Marx v2 day30.";"237-33; 307-4; 478-16."
212. ;"kuru 「くる」 {来る 274} [""come""]: DJG v1 p219.";"21-9; 31-6; 135-5; 219-15."
213. ;"~ kuse ni 「〜くせに」 {〜癖に 1468} [""__ and yet""]: DJG v2 p155; Marx v2 day12; Tobira ch7 #13.";643-15.
214. ;"kuwaete ~ 「くわえて〜」 {加えて〜 1147} [""in addition, __""]: DJG v3 p240.";"1147-17; 1162-17; 1195-21."
215. ;"machigai naku 「まちがいなく」 {間違いなく 448, 663} [""unmistakably""]: DJG v3 p750 (covered under ずにはおかない); Marx v2 day3.";"294-5; 663-18; 663-24."
216. ;"mada ~ 「まだ〜」 [""still __""; ""not yet __""]: DJG v1 p224; Genki ch9; Marx v1 day87.";"4-1; 4-4; 36-6; 109-10; 136-19; 154-4."
217. ;"~ made 「〜まで」 {〜迄** 1806} [""until __""]: DJG v1 p225; Genki ch23.";"1-7; 5-5; 7-6; 36-13."
218. ;"~ made mo nai 「〜までもない」 {〜迄もない** 1806} [""no need to  __""]: DJG v2 p159; Tobira ch10 #5.";"1624-7; 1811-14."
219. ;"~ made ni 「〜までに」 {〜迄に** 1806} [""by (a point in time)""]: DJG v1 p228.";"97-4; 103-10; 152-19; 167-2."
220. ;"~ mai 「〜まい」 [""isn't/aren't/won't __""]: DJG v2 p161.";"478-15; 1907-16; 2027-20; 2037-12."
221. ;"mai ~ no you ni 「まい〜のように」[""almost every __""]: Tobira ch4 #1.";2141-11.
222. ;"~ mama 「〜まま」 [""as is/was""]: DJG v1 p236; Marx v2 day49; Tobira ch12 #15.";"220-4; 236-8; 253-6; 300-14; 308-7; 329-11."
223. ;"masaka ~ 「まさか〜」 [""surely not __""]: DJG v2 p165; Marx v2 day3.";1407-26.
224. ;"-masen ka 「-ませんか」 [""won't you __""]: Genki ch3; Marx v1 day49.";"61-3; 179-19; 221-6; 258-3; 280-8."
225. ;"mashi (da) 「まし(だ)」 [""(is) less undesirable""]: DJG v2 p169.";1965-6.
226. ;"mashite (ya) ~ 「まして(や)〜」 [""to say nothing of __""]: DJG v3 p245.";2198-4.
227. ;"-mashou 「-ましょう」 [""I/we shall __""; ""let's __""]: DJG v1 p240; Genki ch5; Marx v1 day29.";"9-4; 14-4; 21-7."
228. ;"-mashou ka 「-ましょうか」 [""shall I/we __""]: Genki ch6; Marx v1 day49.";"223-5; 467-30; 959-9; 1765-5."
229. ;"mata wa 「または」 {又は* 58} [""or""]: DJG v2 p171.";"58-1; 60-10."
230. ;"matomeru 「まとめる」[""gather"", ""put together"", ""unify""; ""arrange"", ""summarize""].";"102-8; 183-18; 478-14; 989-12; 1587-20."
231. ;"-me 「-め」 {-目 21} [""__th""]: DJG v2 p174.";11-3.
232. ;"meimei 「めいめい」 {銘々 1546} [""each (person)""]: DJG v2 p439 (covered under それぞれ).";"1546-3; 1546-6; 2233-6."
233. ;"-men 「-めん」 {-面 175} [""aspect of __""]: DJG v2 p176.";"189-10; 305-9."
234. ;"metta ni ~ nai 「めったに〜ない」 {滅多に〜ない 1149, 267} [""seldom __""]: DJG v3 p252.";"611-3; 1149-7; 1149-14; 1575-7; 1605-20."
235. ;"mieru 「〜みえる」 {〜見える 83} [""__ can be seen""; ""looks __""]: DJG v1 p243; Marx v1 day50, v2 day69.";"83-4; 83-12; 83-19; 83-27; 84-14; 117-6."
236. ;"miru kara ni ~ 「みるからに〜」 {見るからに〜 83} [""visibly __""]: DJG v3 p254.";1804-12.
237. ;"~ mitai (da) 「〜みたい(だ)」 [""(is) like __""; ""seems like __""]: DJG v3 p105 (covered under 〜ごとし); Genki ch17; Marx v2 day69.";"90-2; 231-5; 341-6; 560-28; 564-4; 677-19."
238. ;"~ mo 「〜も」 [""also __""]: DJG v1 p247; Genki ch2, 4.";"15-16; 113-6; 103-12; 151-5; 161-6; 182-3; 222-10."
239. ;"~ mo 「〜も」 [""even __""]: DJG v1 p250; Genki ch14.";"2-3; 2-6; 15-18; 50-6."
240. ;"~ mo ~ mo 「〜も〜も」 [""both __ and __""; ""neither __ nor __""]: DJG v1 p255, v2 p185; Marx v2 day14; Tobira ch6 #3.";"3-6; 15-16; 23-4."
241. ;mon 「もん」 [colloquial contraction of もの].;"341-6; 676-2; 1317-25; 1427-16; 2275-24."
242. ;"mono 「もの」 {物 172} [tangible thing]: DJG v1 p193 (covered under こと); Marx v1 day34; Tobira ch7 (first page).";"47-12; 59-7; 59-13; 172-9."
243. ;~ mono (da) 「〜もの(だ)」 [emphasis on a particular situation]: DJG v1 p257.;"404-11; 475-24; 476-12; 575-5; 676-2."
244. ;"~ mono (da) 「〜もの(だ)」 [""(is) something that __""]: DJG v2 p189.";"60-7; 130-9; 257-4; 266-20; 341-6."
245. ;"~ mono ka 「〜ものか」 [""no way __""]: DJG v3 p266.";2275-24.
246. ;~ mono (darou) ka 「〜もの(だろう)か」 [expression of uncertainty or wish]: DJG v3 p268.;"425-15; 1589-9."
247. ;"~ mono nara(ba) 「〜ものなら(ば)」 [""were it the case that __""]: DJG v3 p272.";2032-23.
248. ;"~ mono no 「〜ものの」 [""although __""]: DJG v3 p274.";"973-32; 1153-13; 1852-10; 1893-10."
249. ;"mono wo 「ものを」 [""but (alas)""]: DJG v3 p279.";2014-27.
250. ;"morau 「もらう」 {貰う* 1160} [""receive""]: DJG v1 p261; Genki ch14; Marx v2 day30.";"30-6; 105-8; 1160-1."
251. ;"moshika shitara ~/moshika shite ~/moshika suru to 「もしかしたら〜 / もしかして〜 / もしかすると〜」 {若しかしたら* / 若しかして* / 若しかすると* 404} [""perhaps __""].";2062-38.
252. ;"moshi (mo) ~ 「もし(も)〜」 [""if __""]: DJG v3 p205 bottom (covered under かりに〜); Marx v2 day21.";"55-3; 143-11; 226-7; 954-13; 995-16."
253. ;"motarasu 「もたらす」[""bring""; ""bring about""; ""introduce""].";"849-52; 884-5; 1021-22; 1257-55; 1260-36; 1466-28."
254. ;"mou ~ 「もう〜」 [changed state]: DJG v1 p254; Marx v1 day87.";"4-6; 10-7; 15-22; 38-3; 48-6; 63-1."
255. ;"mou + (numeral) + (counter) 「もう + (numeral) + (counter)」[""__ more""].";"2-9; 2-10; 51-6; 67-14; 76-8; 113-24."
256. ;"mushiro 「むしろ」 [""rather""]: DJG v3 p295; Marx v2 day56.";"632-22; 1234-8; 1237-11; 1526-8; 1617-4."
257. ;"-n 「-ん」[colloquial contraction of -ない: ""not __""].";"478-20; 1133-33."
258. ;na 「な」 [male alternative to ね]: DJG v1 p46 examples 9-11.;"62-5; 84-12; 126-8; 206-1; 218-5; 336-14; 492-14; 1317-25."
259. ;naa 「なあ」 [exclamation]: DJG v1 p47 bottom, v2 p193.;"143-5; 143-8; 274-8; 1149-4."
260. ;"~ nado 「〜など」 {〜等* 393} [""such as __""]: DJG v1 p267; Tobira ch2 #2.";"172-6; 179-18; 245-7; 393-8; 409-1; 506-3; 1130-46."
261. ;~ nado to 「〜などと」 {〜等と* 393} [paraphrase]: DJG v2 p197.;"644-14; 741-27; 1269-24; 1668-18; 1748-7."
262. ;"~ nagara 「〜ながら」 [""while __""]: DJG v1 p269; Genki ch18; Marx v1 day88.";"339-11; 355-16; 439-9; 476-9; 565-10; 578-7."
263. ;"~ nagara(mo) 「〜ながら(も)」 [""though __""]: DJG v2 p199.";"760-36; 1327-13; 1407-20; 1634-25; 1988-8."
264. ;nai 「ない」 [informal negative of ある]: DJG v1 p576.;"1-4; 2-3."
265. ;"-nai de 「-ないで」 [""do not __""; ""without __ing""]: DJG v1 p271; Genki ch8, 20; Marx v1 day39.";"51-9; 114-5; 255-4."
266. ;"naishi (wa) 「ないし(は)」 {乃至は* 1754, 250} [""from __ to__""; ""between __ and __""; ""__ or __""]: DJG v3 p307.";"1761-21; 2037-9; 1754-1."
267. ;"-nai to ikenai 「-ないといけない」 [imperative]: DJG v1 p274; Marx v1 day55.";"97-4; 143-12."
268. ;"nakanaka ~ 「なかなか〜」 {中々〜* 35} [""quite __""; ""not readily/quickly __""]: DJG v2 p206; Marx v2 day47; Tobira ch6 #14.";"46-16; 84-12; 231-3; 378-6; 239-15."
269. ;"nakatta 「なかった」 [negative past tense of ある]: DJG v1 p577; Genki ch9; Marx v1 day37.";2-6.
270. ;"-nakereba ikenai 「-なければいけない」 [imperative]: DJG v1 p274; Genki ch12; Marx v1 day54; Tobira ch2 #1.";"81-9; 306-13."
271. ;"-nakereba naranai 「-なければならない」 [imperative]: DJG v1 p274; Genki ch12; Marx v1 day54; Tobira ch2 #1.";"96-11; 145-5."
272. ;"-naku 「-なく」 [""not __, so __""; ""not __, but __""]: DJG v2 p211; Tobira ch2 #15.";"61-12; 294-5; 623-24."
273. ;"-naku naru 「-なくなる」 [""no longer __""]: DJG v1 p277.";"301-11; 313-5; 448-26."
274. ;"-nakute 「-なくて」 [""not __, so __""]: DJG v1 p279; Marx v1 day39; Tobira ch2 #15.";"99-16; 411-3."
275. ;"-nakute mo 「-なくても」 [""even without __""]: DJG v1 p280; Genki ch17; Marx v1 day39.";"55-8; 305-11."
276. ;"-nakute wa naranai/ikenai/dame 「-なくてはならない / -なくてはいけない / -なくてはだめ」 [imperative]: DJG v1 p274; Genki ch12; Marx v1 day54; Tobira ch2 #1.";"272-3; 442-8; 526-17."
277. ;"-nakya (ikenai/naranai) 「-なきゃ(いけない / ならない)」[colloquial contraction of -なければ(いけない / ならない): ""must __""].";"582-14; 1133-33; 1167-2."
278. ;"nan demo 「なんでも」 {何でも* 815} [""whatever""]: Marx v1 day18.";"80-16; 293-4; 837-22."
279. ;"nani ka 「なにか」 {何か* 815} [""something""; ""anything""]: Genki ch8; Marx v1 day18.";"39-2; 80-4; 96-10; 97-7; 126-17."
280. ;"nani mo 「なにも」 {何も* 815} [""nothing""]: DJG v1 p250; Genki ch8; Marx v1 day18.";"51-16; 83-6; 83-25; 83-31; 143-9."
281. ;"nanishiro 「なにしろ」 {何しろ* 815} [""indeed"" - used to emphasize a description]: DJG v2 p216.";1514-19.
282. ;"~ nanka 「〜なんか」 [""such (things)/such (a thing)""]: DJG v3 p341 (covered under 〜なんて).";"337-3; 443-10; 573-6; 698-15; 1027-6; 1063-12; 1260-29; 1622-8."
283. ;"~ na no de 「〜なので」 [""since __""]: DJG v1 p322; Marx v1 day60.";"144-7; 390-3; 409-3."
284. ;"nanraka no ~ 「なんらかの〜」 {何らかの〜* 815} [""some (kind of) __""]: DJG v3 p333.";"488-5; 555-37; 1872-29."
285. ;"nanra ~ nai 「なんら〜ない」 {何ら〜ない* 815} [""no __ whatsoever""]: DJG v3 p334.";"1639-27; 1849-25; 2056-6."
286. ;"nante 「なんて」 {何て〜* 815} [""what __""]: DJG v3 p337.";"878-17; 1356-1; 1681-33."
287. ;"~ nante 「〜なんて」 [""such (things)/such (a thing)""]: DJG v3 p339; Tobira ch4 #3.";"51-23; 126-29; 171-3; 274-18; 617-21; 584-26."
288. ;"nanto ~ 「なんと〜」 {何と〜* 815} [""how __""]: DJG v3 p138 (covered under いかに〜).";"1079-7; 1648-23; 1662-10."
289. ;"nan to ka 「なんとか」 {何とか* 815} [""somehow""]: DJG v3 p341.";"526-23; 1214-2; 1317-13."
290. ;"nao ~ 「なお〜」 {尚〜* 184} [""still (more) __""]: DJG v3 p344.";"358-3; 373-10; 1343-8; 1453-27."
291. ;"naosara 「なおさら」 {尚更* 184, 889} [""still (more) __""]: DJG v3 p348.";"889-19; 1143-18; 1553-25."
292. ;"~ nara 「〜なら(ば)」 [""if __""]: DJG v1 p281; Genki ch13; Marx v2 day23; Tobira ch3 #5.";"55-13; 91-9; 92-11; 143-11."
293. ;"~ nari 「〜なり」 [""the moment __""]: DJG v3 p355.";1017-22.
294. ;"~ nari ~ nari 「〜なり〜なり」 [listing of two examples/possibilities]: DJG v2 p223; Marx v2 day14.";2095-34.
295. ;"nari no ~ 「なりの〜」 [""(one's) own particular __""]: DJG v2 p227.";"173-21; 1149-14; 2156-18."
296. ;"narubeku 「なるべく」[""as __ as possible"", ""as much as possible __""]: Marx v2 day4; Tobira ch3 #15.";"214-6; 1518-10; 2048-21."
297. ;"naruhodo 「なるほど」 [""indeed""; ""Ah, that makes sense.""]: DJG v3 p359.";"595-13; 1931-12."
298. ;"-nasai 「-なさい」 [imperative]: DJG v1 p284; Genki ch22; Marx v1 day40.";"55-7; 80-3; 180-10."
299. ;"~ nashi de wa 「〜なしでは」 [""without __""]: DJG v2 p230.";36-9.
300. ;"~ nashi ni 「〜なしに」 [""without __ing""]: DJG v3 p362.";"159-9; 1233-3."
301. ;"~ nashi ni wa 「〜なしには」 [""without __""]: DJG v2 p231.";38-8.
302. ;"nasu 「なす」 {為す* 1236} [""(to) effect"" (i.e., bring about, realize, perform, etc.)]: DJG v3 p365.";"518-15; 954-14; 1743-20; 1748-1; 2048-29; 2056-5; 2075-27; 2103-14."
303. ;"naze ka ~ 「なぜか〜」 {何故か** 815, 257} [""for some reason __""]: DJG v3 p370.";"530-5; 2014-15."
304. ;"naze nara(ba) ~ kara da 「なぜなら(ば)〜からだ」 {何故なら(ば)〜からだ** 815, 257} [""because __""]: DJG v3 p371; Marx v2 day11.";180-16.
305. ;"-n bakari (ni) 「-んばかり(に)」 [""practically __""]: DJG v3 p374.";"1764-18; 2043-8; 2136-11."
306. ;"ne 「ね」 [speaker seeks confirmation/agreement]: DJG v1 p45 & 286; Genki ch2; Marx v2 day2.";"15-8; 15-14; 24-9; 87-6; 89-2."
307. ;ne/nee 「ねえ / ねぇ」 [exclamation]: DJG v1 p47 bottom.;"39-10; 1607-25; 1712-17; 2213-28."
308. ;ne/nee 「ねえ / ねぇ」 [vulgar pronunciation of ない].;"643-20; 2267-10."
309. ;-neba naranai 「-ねばならない」 [imperative]: DJG v2 p232.;500-5.
310. ;negau/negaimasu 「ねがう / ねがいます」 {願う / 願います 214} [request]: DJG v3 p377.;"17-3; 190-5; 214-1."
311. ;~ ni 「〜に」[time of occurrence]: DJG v1 p289 & 303.;"1-6; 1-8; 3-1; 4-3; 9-4; 25-3; 30-7; 55-14."
312. ;~ ni 「〜に」[marks indirect object]: DJG v1 p291 & 303.;"2-10; 28-2; 29-7; 51-3; 51-9; 51-13; 51-19; 53-11."
313. ;~ ni 「〜に」[marks agent/source]: DJG v1 p292 & 303.;"21-7; 21-8; 47-10; 56-5; 92-9; 135-8; 137-4; 330-4."
314. ;"~ ni 「〜に」[""on __""]: DJG v1 p295 & 303.";"14-1; 27-3; 60-2; 62-8; 64-4; 64-7; 64-9; 124-8; 125-9."
315. ;~ ni 「〜に」[location of existence]: DJG v1 p299 & 303.;"3-7; 15-18; 22-2; 27-5; 33-5; 34-2; 35-8."
316. ;"~ ni 「〜に」[""to __"", ""toward __""]: DJG v1 p302 & 303.";"10-8; 21-4; 21-5; 24-3; 26-3; 29-6; 30-7; 38-1; 38-12."
317. ;"~ ni atari/~ ni atatte 「〜にあたり / 〜にあたって」 {〜に当たり / 〜に当たって 141} [""on the occasion of __"", ""when __""; ""for __""]: DJG v2 p237.";"1510-24; 1668-22; 1953-9; 2164-6."
318. ;"~ ni chigainai 「〜にちがいない」 {〜に違いない 663} [""no doubt __""]: DJG v1 p304; Tobira ch5 #10.";"663-35; 741-10; 893-26; 903-19."
319. ;"~ ni hanshite/~ ni hansuru 「〜にはんして / 〜にはんする」 {〜に反して / 〜に反する 374} [""contrary to __""]: DJG v2 p241.";"374-1; 374-6; 532-28; 543-3."
320. ;"~ ni hoka naranai 「〜にほかならない」 {〜に他ならない 189} [""be nothing but __""]: DJG v2 p245.";815-39.
321. ;"~ ni kagirazu 「〜にかぎらず」 {〜に限らず 282} [""not limited to __""]: DJG v2 p249.";"795-15; 869-44."
322. ;"~ ni kagitte 「〜にかぎって」 {〜に限って 282} [""only (this one) of all (its group)""]: DJG v2 p250.";"637-7; 1927-8."
323. ;"~ ni kakawarazu 「〜にかかわらず」 {〜に関わらず 451} [""regardless of __""]: DJG v3 p386.";"975-16; 1052-10."
324. ;"~ ni kakete wa 「〜にかけては」 [""when it comes to __""]: DJG v3 p391.";298-20.
325. ;"~ ni kanshite/~ ni kansuru 「〜にかんして / 〜にかんする」 {〜に関して / 〜に関する 451} [""with regard to __"", ""about __""]: DJG v2 p252; Marx v2 day42; Tobira ch12 #4.";"451-9; 451-11; 495-4; 540-21; 582-29."
326. ;"~ ni kawatte 「〜にかわって」 {〜に代わって 71} [""in place of __""]: DJG v2 p254.";"1661-26; 1922-35."
327. ;"~ ni ki ga tsuku 「〜にきがつく」[""notice __""]: Tobira ch6 #1.";"126-6; 238-15; 327-14; 382-4."
328. ;"~ ni kimatte iru 「〜にきまっている」 {〜に決まっている 330} [""be bound to __""]: DJG v3 p395.";653-24.
329. ;"-nikui 「-にくい」 {-難い* 712} [""hard to __""]: DJG v1 p307, v2 p52 & 96; Genki ch20; Marx v1 day61.";"46-12; 135-4; 235-4."
330. ;"~ ni kuraberu to/~ ni kurabete 「〜にくらべると / 〜にくらベて」 {〜に比べると / 〜に比べて 123} [""compared to __""]: DJG v2 p256.";"123-5; 1118-10; 1227-14."
331. ;"~ ni mo kakawarazu 「〜にもかかわらず」 {〜にも関わらず 451} [""although __""]: DJG v2 p257; Tobira ch9 #15.";"650-29; 1238-25; 1430-26; 1760-32."
332. ;"~ ni motozuite/~ ni motozuku 「〜にもとづいて / 〜にもとづく」 {〜に基づいて / 〜に基づく 485} [""based on __""]: DJG v2 p261.";"485-4; 499-10; 499-26; 532-32; 1165-23."
333. ;"~ ni naru to 「〜になると」 [""when __ comes""]: DJG v2 p262; Genki ch18.";"238-11; 239-15; 243-3; 454-13; 467-33."
334. ;"~ ni oite/~ ni okeru 「〜において / 〜における」 {〜に於いて* / 〜に於ける* 1885} [""in/on/at/to __""]: DJG v2 p265; Tobira ch13 #13.";"194-10; 282-11; 371-10; 379-14; 427-5; 539-24; 1885-1; 1885-2."
335. ;"~ ni oujite/~ ni oujita 「〜におうじて / 〜におうじた」 {〜に応じて / 〜に応じた 850} [""in response to __""; ""corresponding to __""]: DJG v3 p412.";"860-12; 1036-13; 1039-13; 1099-13; 1147-11; 1224-10."
336. ;"~ ni sarasareru 「〜にさらされる」 [passive form of さらす (""expose""): ""be exposed to __""].";"76-7; 425-6; 799-40; 888-11."
337. ;~ ni shiro/~ ni seyo 「〜にしろ / 〜にせよ」 [imperative]: DJG v2 p70.;1377-21.
338. ;"~ ni shiro/~ ni seyo 「〜にしろ / 〜にせよ」 [""regardless of (whether) __""]: DJG v3 p418.";"923-18; 1276-17; 1874-18; 2179-19; 2189-43."
339. ;"~ ni shitagatte/~ ni shitagai 「〜にしたがって / 〜にしたがい」 {〜に従って / 〜に従い 869} [""in accordance with __""; ""as __""]: DJG v2 p268; Tobira ch10 #8.";"544-21; 869-17; 869-36; 892-19; 1712-37."
340. ;"~ ni shite 「〜にして〜」 [""both __ and __""]: DJG v3 p429.";1304-18.
341. ;"~ ni shite 「〜にして」 [""at/in (such a) time""]: DJG v3 p426.";"167-5; 1432-28; 1484-31."
342. ;"~ ni shite mo 「〜にしても」 [""regardless of (whether) __""]: DJG v3 p435; Marx v2 day25.";"1260-28; 1466-27; 2150-33."
343. ;"~ ni shite wa 「〜にしては」 [""for (a) __""]: DJG v1 p309; Marx v2 day82.";"676-5; 1022-17; 1498-9."
344. ;"~ ni suginai 「〜にすぎない」 {〜に過ぎない 464} [""be merely __""]: DJG v2 p245 & 271; Marx v2 day36.";"674-12; 799-30; 838-24; 1454-4."
345. ;"~ ni sumu 「〜にすむ」 {〜に住む 366} [""live in (a particular place)"" - generally conjugated in -ている form].";"22-2; 254-11; 366-2."
346. ;"~ ni suru 「〜にする」 [""opt for __""]: DJG v1 p310; Marx v2 day80.";"6-4; 16-6; 42-5; 53-10."
347. ;"~ ni taishite/~ ni taishi 「〜にたいして / 〜にたいし」 {〜に対して / 〜に対し 650} [""toward __""; ""(as) against __""]: DJG v2 p275; Tobira ch9 #13.";"502-10; 551-7; 650-30; 738-42; 744-12; 760-43."
348. ;"~ ni todomarazu 「〜にとどまらず」 {〜に止まらず 42} [""go beyond __""]: DJG v3 p440.";2222-11.
349. ;"~ ni totte 「〜にとって」 [""as far as __ is concerned"", ""for/to __""]: DJG v2 p278; Marx v2 day82; Tobira ch2 #4.";"33-7; 95-10; 201-6; 244-7; 245-6; 277-10."
350. ;"~ ni tsuite 「〜について」 {〜に就いて** 1283} [""about __""]: DJG v2 p280; Marx v2 day42.";"51-21; 77-2; 79-7; 80-17; 81-11; 106-4; 118-6."
351. ;"~ ni tsuke 「〜につけ」 {〜に付け* 64} [""whenever __""]: DJG v3 p444.";2032-18.
352. ;"~ ni tsuki 「〜につき」 {〜に付き* 64} [""per __""]: DJG v2 p283.";"15-1; 38-6; 394-8; 1743-13."
353. ;"~ ni tsurete/~ ni tsure 「〜につれて / 〜につれ」 {〜に連れて* / 〜に連れ* 582} [""as __""; ""in proportion to __""]: DJG v2 p285; Tobira ch13 #6.";"375-4; 424-6; 553-12; 1483-20; 1512-16; 1686-7."
354. ;"~ ni wa 「〜には」 [""for the purpose of __""]: DJG v2 p289; Tobira ch13 #11.";"125-10; 204-7; 303-11; 315-12."
355. ;"~ ni watatte/~ ni wataru 「〜にわたって / 〜にわたる」 {〜に亘って* / 〜に亘る* 1395} [""spanning over __""]: DJG v3 p447.";"78-12; 778-14; 968-3; 1118-8; 1155-21; 1395-1."
356. ;"~ ni yoranai 「〜によらない」 {〜に依らない* 701} [""without (being based on) __""].";"1473-18; 1608-17; 1657-32; 2190-37; 2191-15."
357. ;"~ ni yorazu 「〜によらず」 {〜に依らず* 701} [""independent of (whether) __""]: DJG v3 p452.";1197-33.
358. ;"~ ni yoreba 「〜によれば」 {〜に依れば* 701} [""according to __""]: DJG v3 p459 (covered under 〜によると).";"1260-31; 1472-43; 1576-17; 1761-19."
359. ;"~ ni yoru 「〜による」 {〜に依る* 701} [""based on __""; ""by __""].";"182-2; 227-19; 348-2; 368-12; 387-9; 389-3."
360. ;"~ ni yoru to 「〜によると」 {〜に依ると* 701} [""according to __""]: DJG v3 p459; Marx v2 day43.";"51-20; 256-5; 546-41."
361. ;"~ ni yotte/~ ni yori 「〜によって / 〜により」 {〜に依って* / 〜に依り* 701} [""based on/depending on __""; ""due to __""]: DJG v2 p292; Marx v2 day43; Tobira ch8 #2.";"45-6; 129-5; 135-7; 420-6; 1005-39; 1078-30; 1266-7; 1399-9."
362. ;"~ ni yotte + passive 「〜によって + passive」 {〜に依って* 701} [""(done) by __""]: DJG v1 p366.";"45-6; 154-10; 155-7; 235-3; 302-7; 341-4."
363. ;"no 「の」 [nominalizer]: DJG v1 p318; Genki ch8.";"43-6; 51-10; 70-11; 83-15; 95-13; 97-9; 112-4."
364. ;"no 「の」 [marks end of modifying phrase]: DJG v1 p312; Genki ch10.";"2-5; 2-7; 2-10; 3-7; 4-3; 6-7; 9-6; 10-2."
365. ;"no 「の」 [female: explanation or assertion]: DJG v1 p322; Genki ch1.";"384-21; 802-8; 1111-11."
366. ;"no(?) 「の(?)」 [female: question marker]: DJG v1 p48; Marx v1 day11.";"5-8; 37-4; 55-2; 152-10; 847-26; 1987-11."
367. ;"~ no de 「〜ので」 [""because __""]: DJG v1 p328; Genki ch12; Marx v1 day60.";"67-11; 71-15; 103-12; 142-25."
368. ;"(no) de areba 「(の)であれば」 [""if it's the case that __""]: DJG v3 p617 (covered under とあっては).";815-39.
369. ;"no de aru/no desu/no da/n da 「のである / のです / のだ / んだ」 [explanation or assertion]: DJG v1 p325; Genki ch12.";"33-9; 36-5; 38-9; 46-8; 71-6; 83-29; 113-20; 294-6; 423-17."
370. ;"~ (no) kawari ni 「〜(の)かわりに」 {〜(の)代わりに 71} [""in place of __""; ""in compensation for __""]: DJG v1 p184, v2 p116; Marx v2 day26; Tobira ch2 #5.";"71-5; 71-9; 71-15; 82-2; 100-12; 315-10."
371. ;"~ no koto 「〜のこと」 {〜の事* 80} [""about __""]: DJG v2 p304.";"29-2; 53-15; 78-16; 80-2; 85-4; 88-22; 95-4; 134-17; 142-24; 321-5."
372. ;"~ nomi 「〜のみ」 [""only __""]: DJG v2 p307.";"282-4; 412-7; 549-21; 760-34."
373. ;"~ nomi narazu 「〜のみならず」 [""not only __""]: DJG v3 p461.";"1260-36; 2083-12."
374. ;"~ no moto de 「〜のもとで」 {〜の下で 40} [""under __""]: DJG v2 p310.";"76-6; 393-14; 398-11; 542-18; 753-6; 923-12; 932-37; 1213-9."
375. ;"~ no nasa 「〜のなさ」 {〜の無さ* 48} [""lack of __""]: DJG v3 p468.";"1818-4; 2217-11."
376. ;"~ no ni 「〜のに」 [""even though __""]: DJG v1 p331; Genki ch22; Marx v2 day12.";"148-7; 148-14; 221-10; 266-15; 286-2."
377. ;"~ no ni 「〜のに」 [""in order to __""]: DJG v1 p335.";"190-7; 272-2; 294-2; 302-21; 368-16."
378. ;"~ (no) ue de 「〜(の)うえで」 {〜(の)上で 41} [""upon __""]: DJG v2 p547; Tobira ch11 #15.";2278-13.
