;Gloss;Examples
176. ;"kekkou ~ 「けっこう〜」 {結構〜 516, 917} [""rather __""]: DJG v2 p123; Tobira ch6 #13.";"917-17; 917-28; 917-37."
177. ;"~ keredomo 「〜けれども」 [""although __""]: DJG v1 p187.";"279-12; 1135-6; 1156-14."
178. ;"kesshite ~ nai 「-けっして〜ない」[""never __"", ""by no means __""]: Tobira ch9 #10.";"330-6; 330-12; 330-15."
179. ;"~ ki ga suru 「〜きがする」[""I get the impression that __"", ""I think __""]: Marx v2 day74; Tobira ch5 #17.";"126-4; 126-17; 136-16; 169-16."
180. ;"kikoeru 「〜きこえる」 {〜聞こえる 453} [""__ can be heard""; ""sounds __""]: DJG v1 p188; Marx v1 day50.";"453-8; 453-18; 579-16; 1089-24; 1518-5."
181. ;"kimi 「きみ」 {君 1407} [informal: ""you""]: DJG v1 p28.";"2-10; 43-2; 94-9; 94-11; 126-29."
182. ;"~ kirai da 「〜がきらいだ」 {〜が嫌いだ* 2058} [""dislike __""]: DJG v1 p190; Genki ch5; Marx v1 day41.";"15-5; 161-2; 578-5."
183. ;"~ kirai ga aru 「〜きらいがある」 [""have a propensity to  __""]: DJG v3 p214.";2035-9.
184. ;"-kke 「-っけ」 [informal question marker]: DJG v3 p223; Marx v2 day3; Tobira ch15 #14.";597-17.
185. ;"-(k)kiri 「〜(っ)きり」 [""since __""; ""only __""]: DJG v3 p219.";"15-17; 1015-12; 1035-21; 1142-7; 2162-8."
186. ;"ko/so/a/do 「こ / そ / あ / ど」: DJG v1 p600; Genki ch2; Marx v1 day16-17.";"2-8; 8-7; 9-8; 15-5; 15-12; 15-18; 36-5; 50-5; 53-7."
187. ;"kono ~ 「この〜」 {此の〜** 1756} [""this (past) __""; ""this (coming) __""]: DJG v2 p127.";100-11.
188. ;"kono ue nai 「このうえない」 {この上ない / 此の上ない** 41, 1756} [""utterly __""; ""supremely __""]: DJG v3 p226.";"81-8; 2058-38; 2062-26."
189. ;"~ koso 「〜こそ」 [places focus on the particular person, object, place, time, etc. that was just mentioned]: DJG v2 p132; Tobira ch12 #9.";"296-2; 465-9; 1133-33; 1197-31; 1232-18."
190. ;~ koto 「〜こと」 [imperative]: DJG v2 p135.;880-17.
191. ;"koto 「こと」 {事 80} [intangible thing]: DJG v1 p191; Marx v1 day34; Tobira ch7 (first page).";"23-5; 33-1; 43-4; 50-9; 51-17; 80-2."
192. ;koto 「こと」 {事 80} [nominalizer]: DJG v1 p193.;"280-11; 312-6; 668-6; 1062-4."
193. ;"~ koto de 「〜ことで」 {〜事で* 80} [""by virtue of __""]: DJG v2 p137.";"350-6; 682-25; 704-32; 793-29; 948-6; 1026-17."
